lane_section	bn_topics	lane_says	bn_says
1913	bn-291-antequam-and-priusquam-with-the,bn-292-temporal-clauses-with-the-subjunctive	1913. The future indicative is used a few times in general statements by old and late writ	Antequam and priusquam with the indicative; Temporal clauses with the subjunctive
1914	bn-292-temporal-clauses-with-the-subjunctive	1914. In general past statements antequam and priusquam introduce the subjunctive imperfec	Temporal clauses with the subjunctive
1915	bn-291-antequam-and-priusquam-with-the,bn-292-temporal-clauses-with-the-subjunctive	1915. In particular present or future statements, antequam and priusquam introduce a prese	Antequam and priusquam with the indicative; Temporal clauses with the subjunctive
1917	bn-291-antequam-and-priusquam-with-the,bn-292-temporal-clauses-with-the-subjunctive	1917. In particular past statements antequam and priusquam introduce the perfect indicativ	Antequam and priusquam with the indicative; Temporal clauses with the subjunctive
1919	bn-292-temporal-clauses-with-the-subjunctive	1919. When the action of the protasis was forestalled, or when action conceivable or purpo	Temporal clauses with the subjunctive
1920	bn-291-antequam-and-priusquam-with-the,bn-292-temporal-clauses-with-the-subjunctive	1920. The perfect indicative or imperfect subjunctive with antequam is often used attribut	Antequam and priusquam with the indicative; Temporal clauses with the subjunctive
1921	bn-292-temporal-clauses-with-the-subjunctive	1921. The pluperfect subjunctive is rarely introduced by antequam or priusquam except in i	Temporal clauses with the subjunctive
1925	bn-282-moods-in-dependent-clauses	1925. In narration the perfect indicative is regularly used in clauses introduced by postq	Moods in Dependent Clauses
1926	bn-282-moods-in-dependent-clauses	1926. The present indicative of vivid narration (1590) sometimes occurs: as, 331 postquam 	Moods in Dependent Clauses
1927	bn-282-moods-in-dependent-clauses	1927. The present or perfect with postquam or ut is sometimes used in expressions equivale	Moods in Dependent Clauses
1928	bn-282-moods-in-dependent-clauses	1928. The pluperfect with postquam, denoting resulting state (1615), occurs less frequentl	Moods in Dependent Clauses
1929	bn-282-moods-in-dependent-clauses	1929. The pluperfect, less frequently the perfect, with postquam is used attributively wit	Moods in Dependent Clauses
1930	bn-282-moods-in-dependent-clauses	1930. The imperfect with postquam expresses action continuing into the time of the main ac	Moods in Dependent Clauses
1931	bn-282-moods-in-dependent-clauses	1931. postquam and ut have sometimes the meaning of ever since or as long as: as, postquam	Moods in Dependent Clauses
1932	bn-282-moods-in-dependent-clauses	1932. ubī̆, ut, or simul atque (ac) often introduces a clause denoting indefinite or repea	Moods in Dependent Clauses
1934	bn-282-moods-in-dependent-clauses	1934. ubī̆ or simul atque, referring to definite time, introduces the future or future per	Moods in Dependent Clauses
1937		1937. The indicative is used in the protasis of a comparative period introduced by utī or 	
1938		1938. ut . . . ita or sīc, as . . . so, often stand where concessive and adversative conju	
1939	bn-252-syntax-of-indefinite-pronouns	1939. ut quisque, commonly with a superlative expression, is used in the protasis of a com	Syntax of indefinite pronouns
1940		1940. ut often introduces a parenthetical idea, particularly a general truth or a habit wh	
1941		1941. ut, as for example, is used in illustrations, particularly in abridged sentences (10	
1942		1942. The parenthetical clause with ut or prout sometimes makes an allowance for the meani	
1943		1943. ut, as indeed, as in fact, with the indicative, is used to represent that an action 	
1944		1944. ut, as, like, sometimes shows that a noun used predicatively is not literally applic	
1951	bn-292-temporal-clauses-with-the-subjunctive	1951. (b.) Verbs of aim include those of striving, accomplishing, or inducing; such are: s	Temporal clauses with the subjunctive
1956	bn-292-temporal-clauses-with-the-subjunctive	1956. est with a predicate noun is sometimes equivalent to a verb of will or aim, and has 	Temporal clauses with the subjunctive
1957	bn-292-temporal-clauses-with-the-subjunctive	1957. (2.) The subjunctive with ut or nē is used in clauses which complete expressions of 	Temporal clauses with the subjunctive
1958	bn-292-temporal-clauses-with-the-subjunctive	1958. vereor nē is often equivalent to I rather think, and vereor ut to hardly. vidē (vide	Temporal clauses with the subjunctive
1959	bn-292-temporal-clauses-with-the-subjunctive	1959. Other constructions with expressions of fear are: (a.) Indirect question. (b.) Accus	Temporal clauses with the subjunctive
1960	bn-292-temporal-clauses-with-the-subjunctive	1960. (3.) The subjunctive with nē is used in clauses which serve to complete the sense of	Temporal clauses with the subjunctive
1961	bn-282-moods-in-dependent-clauses	1961. The subjunctive with ut or nē is used to denote the purpose of the main action. The 	Moods in Dependent Clauses
1962	bn-282-moods-in-dependent-clauses	1962. The subjunctive with ut or nē is often used not to express the purpose of the main a	Moods in Dependent Clauses
1963	bn-301-conditional-sentences	1963. The subjunctive is used in an assumption or concession with ut or nē, or if the nega	Conditional Sentences
1964	bn-301-conditional-sentences	1964. The subjunctive with ut or nē, generally with ita as a correlative, sometimes has th	Conditional Sentences
1965	bn-292-temporal-clauses-with-the-subjunctive	1965. The subjunctive with ut or ut nōn is used in clauses which serve to complete the sen	Temporal clauses with the subjunctive
1967	bn-292-temporal-clauses-with-the-subjunctive	1967. faciō ut, or with a negative, commonly committō ut, is used in circumlocutions for e	Temporal clauses with the subjunctive
1968	bn-292-temporal-clauses-with-the-subjunctive	1968. A subjunctive clause with ut is often used to define a preceding idea indicated in a	Temporal clauses with the subjunctive
1969	bn-292-temporal-clauses-with-the-subjunctive	1969. tantum abest, so far from, is sometimes followed by a double ut, the first introduci	Temporal clauses with the subjunctive
1970	bn-282-moods-in-dependent-clauses	1970. The subjunctive is used with ut or ut nōn to denote result. The result may be the re	Moods in Dependent Clauses
1973	bn-218-instrumental-uses-of-the-ablative	1973. The indicative is used with quō and a comparative in the protasis of a comparative p	Instrumental Uses of the Ablative
1974	bn-282-moods-in-dependent-clauses	1974. The subjunctive is used with quō to express purpose. quō differs but little in meani	Moods in Dependent Clauses
1977	bn-292-temporal-clauses-with-the-subjunctive	1977. The subjunctive with quōminus (1972) is used to complete the sense of verbs of hinde	Temporal clauses with the subjunctive
1978	bn-292-temporal-clauses-with-the-subjunctive	1978. In Tacitus, quōminus is sometimes found where quīn would be used in classical Latin 	Temporal clauses with the subjunctive
1983	bn-292-temporal-clauses-with-the-subjunctive	1983. The subjunctive with the conjunctive particle quīn is used, particularly in old Lati	Temporal clauses with the subjunctive
1985	bn-292-temporal-clauses-with-the-subjunctive	1985. The subjunctive with quīn (or ut nōn) is used after nōn possum, or nōn possum with a	Temporal clauses with the subjunctive
1986	bn-292-temporal-clauses-with-the-subjunctive	1986. The subjunctive with quīn is used in clauses which complete the sense of verbs of re	Temporal clauses with the subjunctive
1987	bn-292-temporal-clauses-with-the-subjunctive	1987. nōn dubitō has other constructions: (a.) Indirect question. (b.) Accusative with the	Temporal clauses with the subjunctive
1988	bn-282-moods-in-dependent-clauses	1988. The subjunctive with quīn is often used after general negative assertions, or questi	Moods in Dependent Clauses
1989	bn-282-moods-in-dependent-clauses	1989. The subjunctive in an untenable reason, negatively put, is sometimes introduced by n	Moods in Dependent Clauses
1995	bn-292-temporal-clauses-with-the-subjunctive	1995. The present indicative is regularly used with dum, in the time while (1739). dum som	Temporal clauses with the subjunctive
1996	bn-292-temporal-clauses-with-the-subjunctive	1996. The future is rare and chiefly confined to old Latin: as, animum advortite, dum huiu	Temporal clauses with the subjunctive
1997	bn-292-temporal-clauses-with-the-subjunctive	1997. The imperfect indicative is rare; the imperfect subjunctive is sometimes used, chief	Temporal clauses with the subjunctive
1998	bn-292-temporal-clauses-with-the-subjunctive	1998. The clause with dum often denotes the cause of the main action, particularly when th	Temporal clauses with the subjunctive
1999	bn-292-temporal-clauses-with-the-subjunctive	1999. dum, quoad, or quamdiū, all the time while, often has as correlative tamdiū, tantum,	Temporal clauses with the subjunctive
2001	bn-292-temporal-clauses-with-the-subjunctive	2001. (2.) With quamdiū the perfect is used when the main verb is perfect; with dum or quo	Temporal clauses with the subjunctive
2002	bn-292-temporal-clauses-with-the-subjunctive	2002. In poetry and in late prose writers, beginning with Lucretius and Livy, dōnec is use	Temporal clauses with the subjunctive
2003	bn-301-conditional-sentences	2003. The present and imperfect subjunctive are used in provisos introduced by dum, as lon	Conditional Sentences
2005	bn-292-temporal-clauses-with-the-subjunctive	2005. The subjunctive present is used in a protasis introduced by dum, until, when the mai	Temporal clauses with the subjunctive
2006	bn-292-temporal-clauses-with-the-subjunctive	2006. The present indicative with dum, while, is sometimes used where the subjunctive migh	Temporal clauses with the subjunctive
2007	bn-292-temporal-clauses-with-the-subjunctive	2007. quoad or dōnec, until, introduces a protasis in the present subjunctive when the mai	Temporal clauses with the subjunctive
2008	bn-292-temporal-clauses-with-the-subjunctive	2008. An imperfect subjunctive is rarely found with quoad, until (1725): as, haec diēs pra	Temporal clauses with the subjunctive
2009	bn-292-temporal-clauses-with-the-subjunctive	2009. Other constructions occur, chiefly in old Latin or poetry, with dōnec, or dōnicum, u	Temporal clauses with the subjunctive
2011	bn-282-moods-in-dependent-clauses	2011. quandō, when, introduces a temporal clause with the indicative. The time is often in	Moods in Dependent Clauses
2013	bn-282-moods-in-dependent-clauses	2013. quandō, since, seeing that, introduces a causal clause with the indicative. The reas	Moods in Dependent Clauses
2014	bn-282-moods-in-dependent-clauses	2014. quandōque, inasmuch as, is used a few times in a formal or legal sense in Cicero and	Moods in Dependent Clauses
2015	bn-301-conditional-sentences	2015. sī, in early Latin sei, is originally a locative, meaning under those circumstances,	Conditional Sentences
2016	bn-301-conditional-sentences	2016. A protasis introduced by sī, so, if, or nisi, unless, if not, states a condition; th	Conditional Sentences
2017	bn-301-conditional-sentences	2017. A parenthesis with ut (1943) is added when the speaker asserts that the action of th	Conditional Sentences
2026	bn-301-conditional-sentences	2026. (a.) Apodosis in the Present. sī sunt dī, beneficī in hominēs sunt, Div. 2, 104, if 	Conditional Sentences
2027	bn-301-conditional-sentences	2027. (b.) Apodosis in the Perfect. sī hominēs ratiōnem ā dīs datam in fraudem convertunt,	Conditional Sentences
2029	bn-301-conditional-sentences	2029. (d.) Apodosis in the Pluperfect. cesseram, sī aliēnam ā mē plēbem fuisse voltis, qua	Conditional Sentences
2030	bn-301-conditional-sentences	2030. (e.) Apodosis in the Future. sī interpellās, ego tacēbō, Pl. Men. 1121, if you persi	Conditional Sentences
2032	bn-301-conditional-sentences	2032. (g.) Apodosis in the Imperative. dā mihī̆ hoc, mel meum, sī mē amās, Pl. Tri. 244, g	Conditional Sentences
2033	bn-301-conditional-sentences	2033. (h.) Apodosis in the Present Subjunctive. sī quid habēs certius, velim scīre, Att. 4	Conditional Sentences
2034	bn-301-conditional-sentences	2034. (a.) Apodosis in the Present. sī quid vēnāle habuit Heius, sī id quantī aestimābat, 	Conditional Sentences
2035	bn-301-conditional-sentences	2035. (b.) Apodosis in the Perfect. sī peccāvī, īnsciēns fēcī, T. Hau. 631, if I’ve done w	Conditional Sentences
2036	bn-301-conditional-sentences	2036. (c.) Apodosis in the Pluperfect. sī illud iūre rogātum dīcere ausī sunt, oblītīne er	Conditional Sentences
2037	bn-301-conditional-sentences	2037. (d.) Apodosis in the Future. sī quis oriente canīculā nātus est, is in marī nōn mori	Conditional Sentences
2042	bn-301-conditional-sentences	2042. (a.) Apodosis in the Present. sī tum nōn pertimēscēbās, nē nunc quidem perhorrēscis?	Conditional Sentences
2044	bn-301-conditional-sentences	2044. (c.) Apodosis in the Imperfect. This combination is used chiefly of contemporaneous 	Conditional Sentences
2049	bn-301-conditional-sentences	2049. (b.) Apodosis in the Perfect. tum id, sī falsum fuerat, fīlius quōr nōn refellit? T.	Conditional Sentences
2050	bn-301-conditional-sentences	2050. (c.) Apodosis in the Imperfect. sed in aedibus quid tibi meīs nam erat negōtī mē abs	Conditional Sentences
2052	bn-301-conditional-sentences	2052. (a.) Apodosis in the Present. eam sei cūrābeis, perbonast, Pl. Merc. 526, if you’ll 	Conditional Sentences
2054	bn-301-conditional-sentences	2054. (c.) Apodosis in the Future. sī erum īnsimulābis malitiae, male audiēs, T. Ph. 359, 	Conditional Sentences
2056	bn-301-conditional-sentences	2056. (e.) Apodosis in the Imperative. vir tuos sī veniet, iube domī opperīrier, Pl. Cist.	Conditional Sentences
2057	bn-301-conditional-sentences	2057. (f.) Apodosis in the Present Subjunctive. sī quid erit, quod scrībendum putēs, velim	Conditional Sentences
2058	bn-301-conditional-sentences	2058. (g.) Apodosis in the Perfect Subjunctive. sī mē audiētis, adulēscentēs, sōlem alteru	Conditional Sentences
2059	bn-301-conditional-sentences	2059. (a.) Apodosis in the Present. salvae sunt, sī istōs flūctūs dēvītāverint, Pl. R. 168	Conditional Sentences
2060	bn-301-conditional-sentences	2060. (b.) Apodosis in the Perfect. victus sum, sī dīxeris, Pl. Am. 428, I am beaten if yo	Conditional Sentences
2061	bn-301-conditional-sentences	2061. (c.) Apodosis in the Future. perībō, sī nōn fēcerō, sī faxō vāpulābō, Pl. in Gell. 3	Conditional Sentences
2062	bn-301-conditional-sentences	2062. (d.) Apodosis in the Future Perfect. sī dīxerō mendācium, solēns me͡o mōre fēcerō, P	Conditional Sentences
2064	bn-301-conditional-sentences	2064. (f.) Apodosis in the Present Subjunctive. sibī̆ habeat, sī nōn extemplō ab eō abdūxe	Conditional Sentences
2065	bn-301-conditional-sentences	2065. An indicative protasis with sī is often used to assume a general truth as a proof ei	Conditional Sentences
2066	bn-301-conditional-sentences	2066. An indicative protasis with sī often assumes a fact, past or present, as an argument	Conditional Sentences
2067	bn-301-conditional-sentences	2067. An indicative protasis with sī often assumes a fact which is declared in the apodosi	Conditional Sentences
2068	bn-301-conditional-sentences	2068. mīror or mīrum est (mīra sunt) may introduce a conditional protasis, instead of a cl	Conditional Sentences
2070	bn-301-conditional-sentences	2070. (1.) The present or perfect subjunctive is sometimes used in general present supposi	Conditional Sentences
2071	bn-301-conditional-sentences	2071. (2.) The imperfect or pluperfect subjunctive is sometimes used in general past suppo	Conditional Sentences
2076	bn-301-conditional-sentences	2076. (a.) Apodosis in the Present Subjunctive. at pigeat posteā nostrum erum, sī vōs exim	Conditional Sentences
2077	bn-301-conditional-sentences	2077. (b.) Apodosis in the Perfect Subjunctive. sī aequom siet mē plūs sapere quam vōs, de	Conditional Sentences
2078	bn-301-conditional-sentences	2078. (c.) Apodosis in the Present Indicative. quī sī decem habeās linguās, mūtum esse add	Conditional Sentences
2079	bn-301-conditional-sentences	2079. (d.) Apodosis in the Future. quadrīgās sī īnscendās Iovis atque hinc fugiās, ita vix	Conditional Sentences
2080	bn-301-conditional-sentences	2080. (e.) Apodosis in the Future Perfect. nōn tantum, sī proeliō vincās, glōriae adiēceri	Conditional Sentences
2081	bn-301-conditional-sentences	2081. (f.) Apodosis in the Periphrastic Future. nōn latūrus sum, sī iubeās maxumē, Pl. B. 	Conditional Sentences
2082	bn-301-conditional-sentences	2082. (g.) Apodosis in the Imperfect Subjunctive. cantus et Lūnam dēdūcere temptat et face	Conditional Sentences
2084	bn-301-conditional-sentences	2084. (a.) Apodosis in the Present Subjunctive. dēbeam, crēdō, istī quicquam furciferō, sī	Conditional Sentences
2090	bn-301-conditional-sentences	2090. The present subjunctive is particularly common in exemplification. The perfect is so	Conditional Sentences
2094	bn-301-conditional-sentences	2094. (a.) Apodosis in the Imperfect Subjunctive. (a.) Protasis and apodosis both denoting	Conditional Sentences
2095	bn-301-conditional-sentences	2095. (b.) Apodosis in the Pluperfect Subjunctive. invēnissēmus iam diū, sei vīveret, Pl. 	Conditional Sentences
2096	bn-301-conditional-sentences	2096. (c.) Periphrastic Apodosis. quibus, sī Rōmae esset, facile contentus futūrus erat, A	Conditional Sentences
2097	bn-301-conditional-sentences	2097. (a.) Apodosis in the Imperfect Subjunctive. (a.) Protasis denoting past, apodosis pr	Conditional Sentences
2098	bn-301-conditional-sentences	2098. (b.) Apodosis in the Pluperfect Subjunctive. sī appellāssēs, respondisset nōminī, Pl	Conditional Sentences
2100	bn-301-conditional-sentences	2100. (d.) Periphrastic Apodosis. (a.) sī tacuisset, ego eram dictūrus, Pl. Cist. 152, if 	Conditional Sentences
2102	bn-301-conditional-sentences	2102. (a.) Apodosis in the Imperfect Indicative. (a.) Of present action: quod sī Rōmae Cn.	Conditional Sentences
2103	bn-301-conditional-sentences	2103. (b.) Apodosis in the Perfect Indicative. nōn potuit reperīre, sī ipsī sōlī quaerendā	Conditional Sentences
2105	bn-301-conditional-sentences	2105. (a.) Apodosis in the Perfect Indicative. paene in foveam dēcidī, nī hīc adessēs, Pl.	Conditional Sentences
2106	bn-301-conditional-sentences	2106. (b.) Apodosis in the Imperfect Indicative. quīn lābēbar longius, nisi mē retinuissem	Conditional Sentences
2107	bn-301-conditional-sentences	2107. (c.) Apodosis in the Pluperfect Indicative. quīngentōs simul, nī hebes machaera fore	Conditional Sentences
2108	bn-301-conditional-sentences	2108. (3.) Periphrastic Protasis. (a.) ac sī tibī̆ nēmō respōnsūrus esset, tamen causam dē	Conditional Sentences
2110	bn-301-conditional-sentences	2110. Thus, the protasis may be coordinated (1701), or be introduced by a relative pronoun	Conditional Sentences
2111	bn-301-conditional-sentences	2111. The verb of the protasis is sometimes omitted: as in abridged sentences (1057), or w	Conditional Sentences
2112	bn-301-conditional-sentences	2112. The apodosis is sometimes represented by the accusative of exclamation (1149), or th	Conditional Sentences
2113	bn-301-conditional-sentences	2113. The verb of the apodosis, or the entire apodosis, is often omitted. In the latter ca	Conditional Sentences
2114	bn-301-conditional-sentences	2114. The apodosis is sometimes expanded by inserted expressions. So particularly by vereo	Conditional Sentences
2116	bn-301-conditional-sentences	2116. etsī, tametsī, though, etiamsī, even if, or sometimes simple sī, if, is used to intr	Conditional Sentences
2119	bn-301-conditional-sentences	2119. The tense of the subjunctive is usually regulated by the sequence of tenses, in Cice	Conditional Sentences
2120	bn-301-conditional-sentences	2120. The imperfect or pluperfect subjunctive is sometimes used, even when the leading ver	Conditional Sentences
2121	bn-301-conditional-sentences	2121. quasi, ut, or, from Livy on, tamquam or velut, as if, is sometimes used with partici	Conditional Sentences
2127	bn-341-coordinate-conjunctions	2127. (c.) When the last sentence sums up the result of the preceding with emphasis: the A	Coördinate Conjunctions
2129	bn-246-syntax-of-demonstrative-pronouns	2129. hīc and is serve as connectives at the beginning of a new period. In English the equ	Syntax of demonstrative pronouns
2130	bn-246-syntax-of-demonstrative-pronouns	2130. Particularly common are demonstrative words at the beginning of a new period, to sho	Syntax of demonstrative pronouns
2131	bn-250-syntax-of-relative-pronouns	2131. quī serves to connect a new period when it may be translated by a demonstrative, or 	Syntax of relative pronouns
2132	bn-250-syntax-of-relative-pronouns	2132. The neuter accusative quod, as to that, as to which, whereas, now, so, is used to co	Syntax of relative pronouns
2135	bn-341-coordinate-conjunctions	2135. et may continue the discourse with a concessive sentence, which is to be followed by	Coördinate Conjunctions
2136	bn-341-coordinate-conjunctions	2136. et, and strange to say, and if you’d believe it, introduces something unexpected: as	Coördinate Conjunctions
2137	bn-341-coordinate-conjunctions	2137. et, and really, and in fact, and to be sure; in this sense it is usually followed im	Coördinate Conjunctions
2138	bn-341-coordinate-conjunctions	2138. et introducing a sentence explaining in detail a general idea before given may be tr	Coördinate Conjunctions
2139	bn-341-coordinate-conjunctions	2139. et, and also, and besides: as, Pūnicae quoque victōriae sīgnum octō ductī elephantī.	Coördinate Conjunctions
2140	bn-341-coordinate-conjunctions	2140. et, and yet, introduces a contrast or opposition: as, canōrum illud in vōce splendēs	Coördinate Conjunctions
2141	bn-341-coordinate-conjunctions	2141. nec, and really . . . not, and in fact . . . not: as, magnō cum perīculō suō, quī fo	Coördinate Conjunctions
2142	bn-341-coordinate-conjunctions	2142. nec, and to be sure . . . not: as, centum vīgintī līctōrēs cum fascibus secūrēs inli	Coördinate Conjunctions
2143	bn-341-coordinate-conjunctions	2143. nec, not . . . either, nor either, neither: as, eō annō vīs morbī levāta. neque ā pē	Coördinate Conjunctions
2145	bn-341-coordinate-conjunctions	2145. -que, and likewise: as, huic duōs flāminēs adiēcit. virginēsque Vestae lēgit, L. 1, 	Coördinate Conjunctions
2146	bn-341-coordinate-conjunctions	2146. -que, and in fact, and so, and in general: as, tum quoque male pugnātum est. obsessa	Coördinate Conjunctions
2148	bn-341-coordinate-conjunctions	2148. atque, and so, and consequently: as, impedior religiōne quōminus expōnam quam multa 	Coördinate Conjunctions
2150	bn-341-coordinate-conjunctions	2150. A new concessive period is introduced by sānē, quidem, omnīnō, to be sure, or fortas	Coördinate Conjunctions
2152	bn-341-coordinate-conjunctions	2152. atquī, rarely atquīn, and yet, but, is used chiefly in dialogue. It introduces a str	Coördinate Conjunctions
2153	bn-341-coordinate-conjunctions	2153. quamquam, etsī, tametsī, though, and nisi, but, are sometimes used to coordinate a n	Coördinate Conjunctions
2154	bn-341-coordinate-conjunctions	2154. nam, enim, for, or namque, etenim, for you see, introduces a new period which gives 	Coördinate Conjunctions
2155	bn-341-coordinate-conjunctions	2155. The originally asseverative meaning of nam appears, even in the classical period, in	Coördinate Conjunctions
2157	bn-341-coordinate-conjunctions	2157. proinde or proin, therefore, so, introduces a command or direction based upon the fo	Coördinate Conjunctions
2158	bn-341-coordinate-conjunctions	2158. A conclusion is denoted by ergō, itaque or igitur, therefore, so, introducing a new 	Coördinate Conjunctions
2159	bn-341-coordinate-conjunctions	2159. A new sentence affirmative of a foregoing is often introduced by an emphatic sīc or 	Coördinate Conjunctions
2168	bn-326-the-infinitive	2168. The present infinitive is often used to complete the meaning of certain kinds of ver	The Infinitive
2171	bn-326-the-infinitive	2171. A predicate noun used in the construction of the complementary infinitive, is put in	The Infinitive
2174	bn-326-the-infinitive	2174. A predicate noun referring to a subject accusative is itself put in the accusative: 	The Infinitive
2175	bn-326-the-infinitive	2175. The accusative with the infinitive is used with active verbs or verbal expressions o	The Infinitive
2176	bn-326-the-infinitive	2176. The accusative with the infinitive is sometimes introduced by a neuter pronoun, or b	The Infinitive
2177	bn-326-the-infinitive	2177. (1.) Passive verbs of this class are commonly used personally in the third person of	The Infinitive
2179	bn-326-the-infinitive	2179. (2.) With the first or second person the personal construction is rare: as, quod nōs	The Infinitive
2180	bn-326-the-infinitive	2180. (3.) In the perfect system, and also usually in the gerundive construction (2246), v	The Infinitive
2185	bn-314-moods-in-indirect-discourse	2185. The verbs of accusing, arguō and īnsimulō, take the accusative with the infinitive l	Moods in Indirect Discourse
2186	bn-314-moods-in-indirect-discourse,bn-270-tenses-of-the-infinitive	2186. The accusative with the future infinitive is used with verbs of hoping, promising, a	Moods in Indirect Discourse; Tenses of the Infinitive
2189	bn-326-the-infinitive	2189. (1.) The accusative with the infinitive is commonly used with volō (mālō, nōlō), and	The Infinitive
2190	bn-326-the-infinitive	2190. (2.) Even when the subjects denote the same person, the accusative is sometimes used	The Infinitive
2193	bn-326-the-infinitive	2193. Verbs of resolving sometimes take the accusative with the infinitive: as, certum off	The Infinitive
2194	bn-326-the-infinitive	2194. The accusative with the infinitive is sometimes used with verbs of demanding: as, ha	The Infinitive
2197	bn-326-the-infinitive	2197. The verbs of teaching and training, doceō and adsuēfaciō, may take an accusative of 	The Infinitive
2198	bn-326-the-infinitive	2198. The accusative with the infinitive is used with iubeō and vetō, sinō and patior: as,	The Infinitive
2201	bn-326-the-infinitive	2201. In the passive, iubeō, vetō, and sinō are used personally, the accusative of the per	The Infinitive
2202	bn-326-the-infinitive	2202. imperō often has the accusative with a passive or deponent infinitive, or with fierī	The Infinitive
2203	bn-326-the-infinitive	2203. The verbs of hindering, prohibeō and impediō, sometimes have the accusative with the	The Infinitive
2204	bn-326-the-infinitive	2204. The accusative with the infinitive, or the infinitive alone, regarded as a neuter su	The Infinitive
2205	bn-326-the-infinitive	2205. The infinitive as a substantive is rarely preceded by the preposition inter in late 	The Infinitive
2207	bn-326-the-infinitive	2207. The accusative with the infinitive, or the infinitive alone, present or perfect, may	The Infinitive
2210	bn-326-the-infinitive	2210. The infinitive is occasionally used as a subject with verbs other than the above (22	The Infinitive
2212	bn-326-the-infinitive	2212. The accusative is not expressed when it is indefinite, you, a man, a person, anybody	The Infinitive
2214	bn-326-the-infinitive	2214. (2.) When the subject of the infinitive is implied in a dative, a predicate noun may	The Infinitive
2215	bn-326-the-infinitive	2215. The infinitive, used as a substantive in the nominative or accusative, sometimes has	The Infinitive
2216	bn-326-the-infinitive	2216. The infinitive alone, or the accusative with the infinitive, is sometimes used in ex	The Infinitive
2219	bn-270-tenses-of-the-infinitive	2219. In itself, the present infinitive denotes action merely as going on, without any ref	Tenses of the Infinitive
2220	bn-270-tenses-of-the-infinitive	2220. The present infinitive is sometimes used with meminī, recordor, memoriā teneō, and w	Tenses of the Infinitive
2221	bn-270-tenses-of-the-infinitive	2221. With verbs of saying, used in the narrower sense of promising, the present infinitiv	Tenses of the Infinitive
2223	bn-270-tenses-of-the-infinitive	2223. (1.) The perfect active infinitive sometimes serves as a complement of dēbeō, volō, 	Tenses of the Infinitive
2224	bn-270-tenses-of-the-infinitive	2224. (2.) In prohibitions, the perfect active infinitive often serves as a complement of 	Tenses of the Infinitive
2226	bn-317-tenses-in-indirect-discourse	2226. Any past tense of the indicative, when made dependent on a verb of perceiving, knowi	Tenses in Indirect Discourse
2227	bn-317-tenses-in-indirect-discourse	2227. The perfect infinitive passive with fuisse denotes a past resulting state: as, dīcō 	Tenses in Indirect Discourse
2228	bn-270-tenses-of-the-infinitive	2228. (1.) The perfect active infinitive is sometimes used with nōlō or volō, especially i	Tenses of the Infinitive
2229	bn-270-tenses-of-the-infinitive	2229. (2.) volō often has an emphatic perfect passive infinitive, usually without esse (22	Tenses of the Infinitive
2231	bn-270-tenses-of-the-infinitive	2231. The perfect infinitive of completed action is very common with such expressions as s	Tenses of the Infinitive
2233	bn-270-tenses-of-the-infinitive	2233. For the future infinitive active or passive, a circumlocution with fore or futūrum e	Tenses of the Infinitive
2234	bn-270-tenses-of-the-infinitive	2234. fore with the perfect participle of a passive or deponent, represents the future per	Tenses of the Infinitive
2235	bn-326-the-infinitive	2235. (1.) The future infinitive is commonly used with iūrō, minor, polliceor, prōmittō, a	The Infinitive
2236	bn-326-the-infinitive	2236. (2.) A looser present infinitive is sometimes used with the above verbs, especially 	The Infinitive
2240	bn-338-the-gerund	2240. The gerundive expresses, in an adjective form, the uncompleted action of a verb of t	The Gerund
2241	bn-338-the-gerund	2241. The gerund expresses, in a substantive form, the uncompleted action of a verb which 	The Gerund
2242	bn-338-the-gerund	2242. Gerunds of verbs of transitive use are exceptionally found with a substantive object	The Gerund
2243	bn-336-participles,bn-186-the-dative	2243. The nominative of the gerundive construction, as the subject of sum, denotes action 	Participles; The Dative
2244	bn-336-participles	2244. fruendus, fungendus, potiundus, ūtendus, vēscendus, are also used in this constructi	Participles
2245	bn-336-participles	2245. habeō with the gerundive, as an equivalent of est mihī̆, est tibī̆, &c. (2243), is s	Participles
2246	bn-336-participles	2246. The neuter of verbs of intransitive use takes the impersonal construction with est. 	Participles
2248	bn-336-participles	2248. The gerundive sometimes acquires, in itself, the meaning of obligation or propriety,	Participles
2250	bn-336-participles	2250. (1.) The accusative of the gerundive construction is used with locō and condūcō, wit	Participles
2252	bn-338-the-gerund	2252. (2.) The accusative of the gerundive construction or gerund is used with a prepositi	The Gerund
2253	bn-338-the-gerund	2253. Other prepositions are sometimes used: as, inter, in old Latin, Vergil, Livy, and la	The Gerund
2254	bn-338-the-gerund	2254. The dative of the gerundive construction is used with adjectives, verbs, and phrases	The Gerund
2256	bn-338-the-gerund	2256. Late writers sometimes use the dative of the gerundive construction instead of a fin	The Gerund
2257	bn-338-the-gerund	2257. The dative of the gerund is used chiefly by old and late writers, and is confined in	The Gerund
2258	bn-338-the-gerund	2258. (1.) The genitive of the gerundive construction or gerund is used with substantives 	The Gerund
2259	bn-338-the-gerund	2259. In the genitive, a transitive gerund with an object in the accusative is rare except	The Gerund
2260	bn-338-the-gerund	2260. nostrī, vostrī (or vestrī), and suī, being singular in form (649) have often a singu	The Gerund
2262	bn-338-the-gerund	2262. (2.) The genitive of the gerundive construction is used predicatively with sum. rēgi	The Gerund
2263	bn-338-the-gerund	2263. The genitive of the gerundive construction, without a substantive or adjective (2258	The Gerund
